Name,Class,Latitude,Longitude
Ajuntament d’Arnes ,CasaForta,40.909915,0.260738
Antiga presó d’Horta,CasaForta,40.953871,0.316882
Ca La Pruna,CasaForta,41.970474,3.144429
Ca l’Amar de la Torre,CasaForta,41.600727,2.54599
Cal Ferrer de les Torres,CasaForta,42.165833,2.748056
Cal Llossaire,CasaForta,42.25481,2.888873
Cal Marquès,CasaForta,42.315613,3.116603
Cal Ribalta de la Fortesa,CasaForta,41.747008,1.537831
Can Bofí de la Torre,CasaForta,42.172361,2.784028
Can Cabanyes,CasaForta,41.56496,2.411024
Can Draper,CasaForta,41.662028,2.264639
Can Fàbrega,CasaForta,41.975311,3.000365
Can Figa,CasaForta,41.959408,3.125044
Can Frigola,CasaForta,41.887901,2.873931
Can Mallol de la Torre,CasaForta,41.60627,2.542222
Can Mas Grau,CasaForta,41.89822,2.80468
Can Milans Perejordi,CasaForta,41.572224,2.526389
Can Puig de la Bellacasa,CasaForta,42.122778,2.779444
Can Saló de Casavells,CasaForta,42.00003,3.032056
Can Savall de Planils,CasaForta,41.997769,2.993183
Can Savalls,CasaForta,41.86198,3.073471
Can Vinyals,CasaForta,42.054626,2.964018
Casa Caramany,CasaForta,42.18866,3.082242
Casa de Santa Anna de Merola,CasaForta,41.631919,2.669189
Casa del Delme,CasaForta,42.148975,3.026894
Casa del Marquès de Camps,CasaForta,41.973665,2.776117
Casa del Senyor,CasaForta,41.440102,1.865782
Casa del Senyor del Mal Ús,CasaForta,41.863468,3.074483
Casa dels Templers,CasaForta,41.943459,2.786598
Casa forta de la Campanera ,CasaForta,41.367766,1.473814
Casa Forta de la Santa Creu,CasaForta,42.006879,1.142262
Casa forta de Miravet,CasaForta,42.108574,0.840451
Casa forta de Torreferrada,CasaForta,41.911842,2.174797
Casa forta del Mas Pontons,CasaForta,41.43536,1.536426
Casa Gòtica,CasaForta,41.553864,2.400558
Casa Pairal del Noguer de Segueró,CasaForta,42.242313,2.747365
Casa Periques,CasaForta,41.977138,1.885189
Casa Pol,CasaForta,41.500361,2.321917
Casa Portolà,CasaForta,42.700672,0.872541
Casa Tristany,CasaForta,41.87065,1.540239
Casal de Bellpuig,CasaForta,41.920376,2.321852
Casal de Blancafort,CasaForta,41.699814,2.283507
Casal de Mont-ral,CasaForta,41.952003,2.243831
Casal de Mont-rodon,CasaForta,41.864944,2.266684
Casal de Portavella,CasaForta,42.136467,2.137093
Casal de Rosanes,CasaForta,41.663063,2.281562
Casal del Puig de la Balma,CasaForta,41.694167,1.961944
Casal del Villar,CasaForta,41.681576,2.170028
Casal d’Espinzella,CasaForta,41.854733,2.338403
Castell de Castellnou de la Plana,CasaForta,41.802586,2.103294
Castell-palau dels Montpalau,CasaForta,42.21376,2.64182
Castellet de Guanta,CasaForta,41.640259,2.114042
Cooperativa,CasaForta,41.646164,2.741392
Doldellops,CasaForta,41.285948,1.220721
El Casalot,CasaForta,41.797573,1.634313
El Castellot de Marcovau,CasaForta,41.868127,1.033297
El Farell,CasaForta,41.680556,1.918667
El Saiol Comtal,CasaForta,41.806889,2.096216
Els Castellots,CasaForta,41.483849,1.559879
Força de Bellpuig,CasaForta,42.241894,2.617112
La Casa Murada,CasaForta,41.273705,1.528242
La Cortada dels Llucs,CasaForta,42.008037,1.979072
La Guaita de Pregones,CasaForta,41.970546,1.946183
La Marineta,CasaForta,41.580292,2.24666
La Sala,CasaForta,41.818272,1.72922
La Sala,CasaForta,42.338482,2.30184
La Sala,CasaForta,41.804333,2.28475
La Sala,CasaForta,41.840639,2.359222
La Torre,CasaForta,41.959911,2.738425
La Torreta,CasaForta,42.010083,1.565306
Les Romagueres,CasaForta,41.95773,2.56171
Mas Alrà,CasaForta,41.878853,2.755068
Mas Bellver,CasaForta,42.08733,2.91727
Mas Bru,CasaForta,41.988276,2.798918
Mas Calbó ,CasaForta,41.109526,1.124553
Mas de la Closa,CasaForta,41.825908,1.785804
Mas de la Muga,CasaForta,41.223885,1.565898
Mas de la Torre d’en Rosés,CasaForta,41.984662,2.845154
Mas de Nuix,CasaForta,41.623671,1.285767
Mas de Palaudàries,CasaForta,41.607941,2.200055
Mas els Felius,CasaForta,41.980353,2.240835
Mas Reixach,CasaForta,41.828333,2.985833
Mas Serra de Degotalls,CasaForta,41.989483,1.988893
Mas Soler,CasaForta,41.18802,1.407317
Mas Torretes,CasaForta,41.831194,3.0835
Masia Casanova,CasaForta,42.002641,1.457106
Masia de Cal Cisteller,CasaForta,41.959419,1.0428
Masia de les Feixes de Coaner,CasaForta,41.841664,1.688214
Masia de Mas Moles,CasaForta,41.505657,2.343073
Masia fortificada de Can Biel,CasaForta,41.960417,2.654083
Masia fortificada de Can Planes,CasaForta,41.952694,2.651667
Masia Les Torres,CasaForta,41.792167,1.927917
Masmunter,CasaForta,41.107903,0.953069
Nucli de Mas de Bondia,CasaForta,41.605299,1.191984
Presó o Casa de la Castellania,CasaForta,41.052953,0.436608
Torre de Foix,CasaForta,42.209507,1.858666
Torre de la Llebre,CasaForta,41.47609,2.034594
Torre de Seva,CasaForta,41.627310,2.296850
Torre de Taialà,CasaForta,41.996811,2.808488
Torre del Pla,CasaForta,41.62165,2.23936
Torre Ferrana,CasaForta,41.96455,2.761531
Torre Llupiana,CasaForta,41.891552,2.83002
Torre Negra,CasaForta,41.465164,2.100737
Torre Sampsona,CasaForta,41.952788,2.804503
Torres Altes de Foix,CasaForta,41.411015,1.543643
Torreta de Vallflor,CasaForta,41.342234,1.486323
Ajuntament de Vilafranca,Palau,41.346507,1.698001
Cal Gomà,Palau,41.347501,1.695827
Cal Macià,Palau,41.346402,1.697937
Can Nató,Palau,42.021179,3.010849
Casa Canals,Palau,41.118111,1.260056
Casa de la Vila,Palau,41.701667,1.052944
Casa Gran,Palau,41.82425,1.895472
Casa Ramon Balle,Palau,42.049885,2.953667
Casa Salieti,Palau,41.983554,2.825082
Casa-Palau dels Gibert,Palau,41.913958,1.679703
Casal dels Josa,Palau,41.377115,1.161753
Casal Palau dels Marquesos d’Aitona –Serós ,Palau,41.463045,0.409152
La Fontana d’or,Palau,41.98458,2.82562
La Paeria,Palau,41.614686,0.626802
Obra de Fluvià,Palau,41.788731,1.299402
Palau Abacial del Pont de Suert ,Palau,42.407204,0.739657
Palau Alenyà,Palau,41.377028,1.162833
Palau Baltà,Palau,41.3472,1.697061
Palau Comtal,Palau,42.258064,3.074073
Palau de l&#8217;Abadia,Palau,42.232441,2.285607
Palau de l&#8217;Abat,Palau,42.281555,2.97943
Palau de la Cambreria,Palau,41.118833,1.257583
Palau de Marianao,Palau,41.352611,2.022722
Palau del Castlà,Palau,41.375782,1.162547
Palau del marqués de Llió,Palau,41.453657,1.703682
Palau dels Cabrera,Palau,41.675945,2.792704
Palau dels Comtes de Centelles ,Palau,41.797523,2.219434
Palau dels Margarit,Palau,42.154942,3.06974
Palau dels Marquesos de la Floresta,Palau,41.64758,1.14019
Palau dels Oliver de Boteller,Palau,40.813333,0.521306
Palau Despuig,Palau,40.813306,0.522028
Palau Episcopal,Palau,41.986844,2.82605
Palau Episcopal,Palau,41.993994,1.519117
Palau Episcopal,Palau,40.813998,0.521413
Palau Llobera,Palau,41.995567,1.51927
Palau Novella,Palau,41.29177,1.85256
Palau Oriol,Palau,40.813194,0.521917
Palau Reial,Palau,42.043274,3.125921
Palau Reial,Palau,41.375961,1.161021
Palau Reial,Palau,41.346682,1.696839
Palau Solterra,Palau,42.041675,3.126168
Torre de Santa Llúcia ,Palau,41.482706,1.926975
Torre-ramona,Palau,41.421286,1.819867
El Pontarró,Pont,41.871339,2.115152
Passera de Sobrànigues,Pont,42.059724,2.959797
Passera entre Sant Gregori i Bescanó,Pont,41.969914,2.745667
Pont de Beget,Pont,42.3207,2.480731
Pont de Biosca,Pont,41.842049,1.35835
Pont de Buida-sacs,Pont,41.931724,1.64104
Pont de Cabrianes,Pont,41.772381,1.904694
Pont de Camarasa,Pont,41.87928,0.877018
Pont de Can Coca,Pont,41.747111,2.402194
Pont de Can Prat,Pont,42.13861,2.679167
Pont de Can Vernet,Pont,41.477716,2.076533
Pont de Can Vidal,Pont,41.94535,2.55699
Pont de Castellbò,Pont,42.373722,1.357528
Pont de Castelló de Farfanya,Pont,41.820684,0.729013
Pont de Cavaloca ,Pont,41.231583,0.74175
Pont de Conangle,Pont,41.834722,1.874389
Pont de Cossei,Pont,42.194489,2.544461
Pont de Gerri de la Sal,Pont,42.323645,1.065994
Pont de Gualta ,Pont,42.031433,3.103052
Pont de la cabreta,Pont,42.249538,2.164629
Pont de la Cabreta,Pont,41.953722,2.257278
Pont de la cantina,Pont,41.9125,2.3895
Pont de La Coromina ,Pont,41.9102,1.690167
Pont de la Creu,Pont,41.881589,3.12485
Pont de la Farga Vella,Pont,42.278667,2.00475
Pont de la Farga,Pont,42.0039,1.57183
